augmentation_level,batch_norm,batch_size,bits,bits_a,builtin_profiler,clip_threshold,data_dir,data_path,dataset,dry_run,dtype,epochs,fp_downsample_sc,gpus,growth_rate,init_features,initialization,kvstore,log,log_interval,lr,lr_factor,lr_steps,mean_subtraction,mode,model,momentum,num_workers,optimizer,plot_network,pool_downsample_sc,prefix,profile,reduction,resume,save_frequency,seed,slices,start_epoch,use_approx_sign,use_pretrained,wd,write_summary,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,cifar10,False,float32,150,True,0,None,None,gaussian,device,image-classification.log,50,0.01,0.3,"75,100,125",False,imperative,resnet18_e2,0.9,4,adam,meta/plot,True,model,False,None,,10,123,4,0,False,False,0.0,meta/tblogs'),1,,.,0.386274,0.899031,0.289602,0.796575
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,cifar10,False,float32,150,True,0,None,None,gaussian,device,image-classification.log,50,0.01,0.3,"75,100,125",False,imperative,resnet18_e2,0.9,4,adam,meta/plot,True,model,False,None,,10,123,4,0,False,False,0.0,meta/tblogs'),2,,.,0.472857,0.933694,0.450328,0.908848
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,cifar10,False,float32,150,True,0,None,None,gaussian,device,image-classification.log,50,0.01,0.3,"75,100,125",False,imperative,resnet18_e2,0.9,4,adam,meta/plot,True,model,False,None,,10,123,4,0,False,False,0.0,meta/tblogs'),3,,.,0.591546,0.952724,0.563421,0.947316
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,cifar10,False,float32,150,True,0,None,None,gaussian,device,image-classification.log,50,0.01,0.3,"75,100,125",False,imperative,resnet18_e2,0.9,4,adam,meta/plot,True,model,False,None,,10,123,4,0,False,False,0.0,meta/tblogs'),4,,.,0.650341,0.969351,0.629576,0.963035
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,cifar10,False,float32,150,True,0,None,None,gaussian,device,image-classification.log,50,0.01,0.3,"75,100,125",False,imperative,resnet18_e2,0.9,4,adam,meta/plot,True,model,False,None,,10,123,4,0,False,False,0.0,meta/tblogs'),5,,.,0.664163,0.975561,0.675372,0.973306
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,cifar10,False,float32,150,True,0,None,None,gaussian,device,image-classification.log,50,0.01,0.3,"75,100,125",False,imperative,resnet18_e2,0.9,4,adam,meta/plot,True,model,False,None,,10,123,4,0,False,False,0.0,meta/tblogs'),6,,.,0.714944,0.981470,0.709635,0.978866
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,cifar10,False,float32,150,True,0,None,None,gaussian,device,image-classification.log,50,0.01,0.3,"75,100,125",False,imperative,resnet18_e2,0.9,4,adam,meta/plot,True,model,False,None,,10,123,4,0,False,False,0.0,meta/tblogs'),7,,.,0.727264,0.982372,0.736713,0.982497
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,cifar10,False,float32,150,True,0,None,None,gaussian,device,image-classification.log,50,0.01,0.3,"75,100,125",False,imperative,resnet18_e2,0.9,4,adam,meta/plot,True,model,False,None,,10,123,4,0,False,False,0.0,meta/tblogs'),8,,.,0.768429,0.986879,0.757392,0.985256
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,cifar10,False,float32,150,True,0,None,None,gaussian,device,image-classification.log,50,0.01,0.3,"75,100,125",False,imperative,resnet18_e2,0.9,4,adam,meta/plot,True,model,False,None,,10,123,4,0,False,False,0.0,meta/tblogs'),9,,.,0.773438,0.986353,0.772778,0.987772
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,cifar10,False,float32,150,True,0,None,None,gaussian,device,image-classification.log,50,0.01,0.3,"75,100,125",False,imperative,resnet18_e2,0.9,4,adam,meta/plot,True,model,False,None,,10,123,4,0,False,False,0.0,meta/tblogs'),10,,.,0.760617,0.986879,0.786205,0.989110
